# GUI 命令 → CLI 子命令对等映射表（由 scripts/check/cli-parity.sh 机械消费）。
# 列（TAB 分隔）：gui_command<TAB>mapped|exempt<TAB>cli_invocation<TAB>reason（exempt 必填）。
# cli_invocation 是空格分层的子命令路径；守卫用 p2pctl --help 实测存在性，禁止只对表不验命令。
# 新增 GUI 命令必须登记一行（mapped 或带理由的 exempt），否则守卫非 0 退出。
node_start	mapped	node start	
node_stop	mapped	node stop	
node_status	mapped	node status	
metrics_get	mapped	metrics get	
metrics_history	exempt		GUI 语义为运行期 5s 采样 120 点的环形历史，CLI 等价实现需守护进程新增采样行为（非薄封装）；CL4 按 R7 权限边界不擅自扩，已回报待裁决（对应即时快照 metrics get 已补齐）
config_get	mapped	config get	
config_save	mapped	config save	
profile_get	mapped	profile get	
profile_save	mapped	profile save	
peer_dial	mapped	peer dial	
peer_connect	mapped	peer connect	
peer_disconnect	mapped	peer disconnect	
peer_ping	mapped	peer ping	
identity_reset	mapped	identity reset	
frontend_log_append	exempt		GUI 前端专属行为：浏览器侧 error/unhandledrejection/console.error 采集后落盘，CLI 无浏览器运行时、不存在采集源，提供对等子命令无意义
frontend_log_tail	mapped	log tail	
frontend_log_path	mapped	log path	
frontend_log_clear	mapped	log clear	
update_check	mapped	update check	
update_open_release_page	mapped	update open	CLI 语义差异：不开浏览器，校验白名单后输出 release 页 URL（映射说明，非豁免）
chat_friends_list	mapped	chat friends list	
chat_friend_invite	mapped	chat friends add	
chat_friend_remove	mapped	chat friends remove	
chat_invites_list	mapped	chat friends invites list	
chat_invite_accept	mapped	chat friends invites accept	
chat_invite_reject	mapped	chat friends invites reject	
chat_invite_cancel	mapped	chat friends invites cancel	
chat_friend_update	mapped	chat friends update	
chat_history	mapped	chat history	
chat_send	mapped	chat send	
chat_media_file	mapped	chat media file
chat_media_export	exempt		桌面壳专属：来源为本端落盘附件、目标路径出自系统保存对话框、进度走 IPC Channel，CLI 无文件对话框与 webview 进度通道，提供对等子命令无意义（同 acp_console_status 豁免先例）
group_create	mapped	group create	
group_list	mapped	group list	
group_invite	mapped	group invite	
group_kick	mapped	group kick	
group_leave	mapped	group leave	
group_rename	mapped	group rename	
group_disband	mapped	group disband	
group_send	mapped	group send	
group_history	mapped	group history	
group_media_file	mapped	group media file	
chat_group_invite_send	mapped	group invites send	
chat_group_invites_list	mapped	group invites list	
chat_group_invite_accept	mapped	group invites accept	
chat_group_invite_reject	mapped	group invites reject	
acp_console_status	exempt		GUI 壳专属伴生进程托管快照（契约 §15 v10）：acp-console 由 GUI 启动 spawn 的本地子进程，CLI 无常驻进程面可对等，提供对等子命令无意义（同 frontend_log_append 豁免先例）
acp_local_descriptor	exempt		GUI 分享流专属自动化（2026-09-07 用户裁决）：读用户级 ~/.dsh/acp/local-agent.json 自描述免手填 admin token，仅服务 Tauri 壳内分享创建；CLI 场景无此交互，对等子命令待真实需求另行裁决
llm_share_offer_publish	mapped	llm-share offer publish	
llm_share_offer_show	mapped	llm-share offer show	
llm_share_allow_list	mapped	llm-share allowlist	
llm_share_allow	mapped	llm-share allow	
llm_share_deny	mapped	llm-share deny	
llm_share_borrow	mapped	llm-share borrow	
llm_share_ledger_list	mapped	llm-share ledger list	
llm_share_ledger_balance	mapped	llm-share ledger balance	
llm_share_receipt_verify	mapped	llm-share receipt verify	
llm_share_provider_list	mapped	llm-share provider list	
llm_share_provider_save	mapped	llm-share provider save	
llm_share_provider_remove	mapped	llm-share provider remove	
llm_share_share_create	mapped	llm-share share create	
llm_share_share_list	mapped	llm-share share list	
llm_share_share_revoke	mapped	llm-share share revoke	
llm_share_share_redeem	mapped	llm-share share redeem	
llm_share_serve_status	exempt		serve 生命周期跟随 GUI 常驻节点（node_start 装配 / node_stop 卸载），CLI 无常驻进程面可对等，提供对等子命令无意义（acp_console_status 豁免先例）
a2a_list	mapped	a2a list	
a2a_publish	mapped	a2a publish	
a2a_unpublish	mapped	a2a unpublish	
a2a_allow	mapped	a2a allow	
a2a_disallow	mapped	a2a disallow	
